"","lat","long","sog","cog","heading","rot","nav_stt","timestamp","mmsi","shiptype","ship_name","year_of_build","country_of_build","ship_status_eff_date","ship_type_group","ship_type_level2","flag_code","flag_eff_date","flag_name","port_of_registry","call_sign","charterer_latest_reported","class_narrative","displacement","draught","length_registered","net_tonnage","pandi_club","sale_price_usd","doc_company","group_ben_owner","group_ben_ownercountry_ofcontrol","operator","registered_owner","registered_owner_countryofregistration","ship_manager","ship_manager_countryofcontrol","technical_mgr","ship_builder","grosstonnage","deadweight","lengthoverallloa","lengthbetweenperpendicularslbp","countryofeconomicbenefit","fueltype1capacity","fueltype1code","fueltype1first"
"109","40.767105","28.89892","6.699999809265138","323.3999938964844","320.0","0.0","0.0","2022-02-16 14:42:00",538008955,"75","DORYSIA",2010,"Korea, South",20101026,"Bulk Carrier-Large Handy","Bulk Carriers","MAI",202005,"Marshall Islands","Majuro","V7A2947","Jlauritzen","Det Norske Veritas (2020-05-00) NV: Special Survey Date: 2020-12-24 Class Notation: (+) 1A1 Bulk carrier BC(A) BIS BWM(E(s)) COAT-PSPC(B) CSR E0 ESP Grab(20 t) Holds(2,4)may be empty TMON",45337,10.918,178.93,12334,"Gard",8900000,"Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","","Caliber Maritime SA-LIB","Hyundai Mipo Dockyard Co Ltd",22691,36863,187,178,"Greece",160,"DF","Distillate Fuel"
"110","40.90844","28.930964000000003","6.9000000953674325","44.70000076293945","44.0","5.0","0.0","2022-02-16 07:42:00",371773000,"75","RHINE RIVER",2007,"Russia",20070615,"General Cargo 5,000-9,999 dwt","Dry Cargo/Passenger","PAN",202008,"Panama","Panama","H8WV","","Registro Italiano Navale (2020-08-00)Survey Type: Date: 2007-06  RI: Special Survey Date: 2017-06-29 Class Notation: C+ general cargo ship - double side-skin MN (+)AUT-UMS ICE CLASS IC Service Restriction: Special International",8612,5.06,117.06,2841,"Unknown","NULL","Rivers Group Denizcilik Ltd","Rivers Group Denizcilik Ltd","Turkey","Rivers Group Denizcilik Ltd","Rhine River Shipping Corp","Panama","Rivers Group Denizcilik Ltd","Turkey","Rivers Group Denizcilik Ltd","Krasnoye Sormovo",4922,6354,121.7,114.22,"Turkey",103,"DF","Distillate Fuel"
"111","44.81078","36.573112","0.10000000149011612","272.70001220703125","207.0","0.0","1.0","2022-02-16 14:05:00",636018374,"75","QUORN",2010,"China, People's Republic Of",20100226,"Bulk Carrier-Capesize","Bulk Carriers","LIB",201712,"Liberia","Monrovia","D5PK6","Rio Tinto","Det Norske Veritas (2011-03-00)Survey Type: Date: 2010-02  NV: Special Survey Date: 2020-03-27 Class Notation: (+.) 1A1 Bulk carrier BC(A) E0 ESP Grab(25 t) Holds(2,4,6,8)may be empty NAUTICUS(Newbuilding) Recyclable TMON",197779,18.32,283.036,58745,"Unknown",23750000,"Zodiac Maritime Ltd","Zodiac Maritime Ltd","Monaco","Zodiac Maritime Ltd","Hermal Marine Inc","Liberia","Zodiac Maritime Ltd","Monaco","Zodiac Maritime Ltd","Shanghai Jiangnan Changxing SB",91373,178005,292,282,"Monaco",340,"DF","Distillate Fuel"
"112","41.385117","29.027683000000003","0.5","37.0","27.0","0.0","0.0","2022-02-16 13:42:00",374540000,"75","HTK NEPTUNE",2007,"Japan",20070807,"Bulk Carrier-Large Handy","Dry Cargo/Passenger","PAN",201812,"Panama","Panama","3FDD","Falcon","Nippon Kaiji Kyokai (2007-08-00)Survey Type: Date: 2007-08  NK: Special Survey Date: 2020-06-06 Class Notation: NS(BC-A)(IWS)(IHM) /MNSCHG, MPP, LSA, RCF, AFS, BWM",45382,10.85,170.58,12674,"West of England",11500000,"HTK Shipping & Import Export","Vietnam Govt","Vietnam","HTK Shipping & Import Export","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Saiki Heavy Industries Co Ltd",22698,37426,177.8,169.8,"Vietnam",285,"DF","Distillate Fuel"
"113","41.548065","29.32255","11.300000190734865","243.0","246.0","0.0","0.0","2022-02-16 10:48:00",374540000,"75","HTK NEPTUNE",2007,"Japan",20070807,"Bulk Carrier-Large Handy","Dry Cargo/Passenger","PAN",201812,"Panama","Panama","3FDD","Falcon","Nippon Kaiji Kyokai (2007-08-00)Survey Type: Date: 2007-08  NK: Special Survey Date: 2020-06-06 Class Notation: NS(BC-A)(IWS)(IHM) /MNSCHG, MPP, LSA, RCF, AFS, BWM",45382,10.85,170.58,12674,"West of England",11500000,"HTK Shipping & Import Export","Vietnam Govt","Vietnam","HTK Shipping & Import Export","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Saiki Heavy Industries Co Ltd",22698,37426,177.8,169.8,"Vietnam",285,"DF","Distillate Fuel"
"114","41.00914","28.9978","12.300000190734865","164.6999969482422","511.0","","","2022-02-16 07:47:00",271040397,"75","KAYA BENER",2010,"Turkey",20100225,"Tanker-<=4,999dwt","Tankers","TRK",201002,"Turkey","Istanbul","TCXV4","","Turk Loydu (2016-06-00)Survey Type: Date: 2010-02",0,4.39,".000",370,"Unknown","NULL","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","Turkey","ABG Tarim ve Deniz","Hat-San Shipyard",975,1524,64.43,59.15,"Turkey",".00","YY","Yes, But Type Not Known"
"115","40.99212","28.999332","12.399999618530273","176.0","511.0","","","2022-02-16 07:52:00",271040397,"75","KAYA BENER",2010,"Turkey",20100225,"Tanker-<=4,999dwt","Tankers","TRK",201002,"Turkey","Istanbul","TCXV4","","Turk Loydu (2016-06-00)Survey Type: Date: 2010-02",0,4.39,".000",370,"Unknown","NULL","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","Turkey","ABG Tarim ve Deniz","Hat-San Shipyard",975,1524,64.43,59.15,"Turkey",".00","YY","Yes, But Type Not Known"
"118","41.20874","29.116106","7.9000000953674325","211.6000061035156","511.0","","","2022-02-16 06:28:00",271040397,"75","KAYA BENER",2010,"Turkey",20100225,"Tanker-<=4,999dwt","Tankers","TRK",201002,"Turkey","Istanbul","TCXV4","","Turk Loydu (2016-06-00)Survey Type: Date: 2010-02",0,4.39,".000",370,"Unknown","NULL","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","Turkey","ABG Tarim ve Deniz","Hat-San Shipyard",975,1524,64.43,59.15,"Turkey",".00","YY","Yes, But Type Not Known"
"120","44.156209999999994","28.64351","0.10000000149011612","20.200000762939453","185.0","0.0","5.0","2022-02-16 12:13:00",636021019,"75","DISCOVERY",2012,"China, People's Republic Of",20121018,"Bulk Carrier-Large Handy","Bulk Carriers","LIB",202108,"Liberia","Monrovia","5LBV8","","Nippon Kaiji Kyokai (2013-09-00) NK: Special Survey Date: 2017-08-21 Class Notation: NS(CSR, BC-A, BC-XII, GRAB 25, PSPC-WBT)(IC IS)(ESP)(IWS)(PSCM)(IHM) /MNSCHG, MPP, LSA, RCF, M0, AFS, BWM",46970,10.518,183.682,12191,"Swedish Club",14200000,"BSM GR Management Ltd","Costamare Shipping Co SA","Greece","Costamare Shipping Co SA","Cavalaire Marine Corp","Liberia","Costamare Shipping Co SA","Greece","BSM GR Management Ltd","Zhejiang Ouhua Shipbuilding Co",24195,37019,189.99,183.68,"Greece",130,"DF","Distillate Fuel"
"121","40.38993","27.99636","0.10000000149011612","45.599998474121094","195.0","0.0","1.0","2022-02-16 07:52:00",273298020,"75","NIKOLAI LEONOV",2021,"Russia",20210719,"General Cargo 5,000-9,999 dwt","Dry Cargo/Passenger","RUS",202107,"Russia","Taganrog","UBLV9","","Russian Maritime Register (2021-07-00)Survey Type: Date: 2021-07  RS: Special Survey Date: 2021-07-19 Class Notation: KM(*) Ice2 (hull, machinery) R2 AUT1-ICS BWM(T) CONT(deck and cargo hold) DG(bulk) DG(pack)",10812,4.53,".000",3455,"Unknown","NULL","Alpha LLC","JSC GTLK","Russia","Alpha LLC","JSC GTLK","Russia","Alpha LLC","Russia","Alpha LLC","Krasnoye Sormovo",6305,8157,141,137.08,"Russia",".00","DF","Distillate Fuel"
"122","40.825615","28.889112","0.10000000149011612","294.1000061035156","219.0","0.0","0.0","2022-02-16 06:07:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"123","44.7245","37.783157","3.2999999523162837","84.5","84.0","0.0","0.0","2022-02-16 07:42:00",273353480,"75","RENE",1989,"Bulgaria",20130124,"Tanker-<=4,999dwt","Tankers","RUS",201211,"Russia","Novorossiysk","UBCJ8","","Russian Maritime Register (2012-11-00) RS: Special Survey Date: 2022-12-21 Class Notation: KM(*) Ice3 R2 oil tanker(>60A degree C)(ESP)",3845,5.375,".000",1014,"Unknown","NULL","Unknown","Tanker Service Co Ltd","Russia","Tanker Service Co Ltd","Tanker Service Co Ltd","Russia","Tanker Service Co Ltd","Russia","Unknown","Ivan Dimitrov",1896,3365,77.53,73.24,"Russia",".00","YY","Yes, But Type Not Known"
"124","41.254776","29.12922","6.5","178.0","511.0","","","2022-02-16 06:03:00",271040397,"75","KAYA BENER",2010,"Turkey",20100225,"Tanker-<=4,999dwt","Tankers","TRK",201002,"Turkey","Istanbul","TCXV4","","Turk Loydu (2016-06-00)Survey Type: Date: 2010-02",0,4.39,".000",370,"Unknown","NULL","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","Turkey","ABG Tarim ve Deniz","Hat-San Shipyard",975,1524,64.43,59.15,"Turkey",".00","YY","Yes, But Type Not Known"
"126","40.73315","29.41403","10.699999809265137","76.0","511.0","","","2022-02-16 10:23:00",271040397,"75","KAYA BENER",2010,"Turkey",20100225,"Tanker-<=4,999dwt","Tankers","TRK",201002,"Turkey","Istanbul","TCXV4","","Turk Loydu (2016-06-00)Survey Type: Date: 2010-02",0,4.39,".000",370,"Unknown","NULL","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","Turkey","ABG Tarim ve Deniz","Hat-San Shipyard",975,1524,64.43,59.15,"Turkey",".00","YY","Yes, But Type Not Known"
"127","44.36399","37.83846","6.199999809265138","202.6000061035156","511.0","-128.0","0.0","2022-02-16 00:47:00",667001368,"75","BANU",1986,"United Kingdom",20150624,"General Cargo <=4,999 dwt","Dry Cargo/Passenger","SIE",202012,"Sierra Leone","Freetown","9LU2171","","Dromon Bureau of Shipping (2020-12-00)",1836,3.899,54.9,552,"Unknown","NULL","Evrim Maritime Co","Unknown","","Evrim Maritime Co","Evrim Maritime Co","Marshall Islands","Evrim Maritime Co","","Evrim Maritime Co","Yorkshire D.D.",794,1400,58.3,54.72,"Turkey",32,"DF","Distillate Fuel"
"128","44.270109999999995","37.78796","6.199999809265138","200.1000061035156","511.0","-128.0","0.0","2022-02-16 01:48:00",667001368,"75","BANU",1986,"United Kingdom",20150624,"General Cargo <=4,999 dwt","Dry Cargo/Passenger","SIE",202012,"Sierra Leone","Freetown","9LU2171","","Dromon Bureau of Shipping (2020-12-00)",1836,3.899,54.9,552,"Unknown","NULL","Evrim Maritime Co","Unknown","","Evrim Maritime Co","Evrim Maritime Co","Marshall Islands","Evrim Maritime Co","","Evrim Maritime Co","Yorkshire D.D.",794,1400,58.3,54.72,"Turkey",32,"DF","Distillate Fuel"
"129","40.82394","28.918591999999997","0.30000001192092896","359.29998779296875","29.0","0.0","0.0","2022-02-16 06:22:00",538008955,"75","DORYSIA",2010,"Korea, South",20101026,"Bulk Carrier-Large Handy","Bulk Carriers","MAI",202005,"Marshall Islands","Majuro","V7A2947","Jlauritzen","Det Norske Veritas (2020-05-00) NV: Special Survey Date: 2020-12-24 Class Notation: (+) 1A1 Bulk carrier BC(A) BIS BWM(E(s)) COAT-PSPC(B) CSR E0 ESP Grab(20 t) Holds(2,4)may be empty TMON",45337,10.918,178.93,12334,"Gard",8900000,"Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","","Caliber Maritime SA-LIB","Hyundai Mipo Dockyard Co Ltd",22691,36863,187,178,"Greece",160,"DF","Distillate Fuel"
"130","44.1562","28.643457","0.10000000149011612","5.099999904632568","185.0","0.0","5.0","2022-02-16 14:47:00",636021019,"75","DISCOVERY",2012,"China, People's Republic Of",20121018,"Bulk Carrier-Large Handy","Bulk Carriers","LIB",202108,"Liberia","Monrovia","5LBV8","","Nippon Kaiji Kyokai (2013-09-00) NK: Special Survey Date: 2017-08-21 Class Notation: NS(CSR, BC-A, BC-XII, GRAB 25, PSPC-WBT)(IC IS)(ESP)(IWS)(PSCM)(IHM) /MNSCHG, MPP, LSA, RCF, M0, AFS, BWM",46970,10.518,183.682,12191,"Swedish Club",14200000,"BSM GR Management Ltd","Costamare Shipping Co SA","Greece","Costamare Shipping Co SA","Cavalaire Marine Corp","Liberia","Costamare Shipping Co SA","Greece","BSM GR Management Ltd","Zhejiang Ouhua Shipbuilding Co",24195,37019,189.99,183.68,"Greece",130,"DF","Distillate Fuel"
"131","44.1562","28.643457","0.10000000149011612","348.29998779296875","185.0","0.0","5.0","2022-02-16 15:13:00",636021019,"75","DISCOVERY",2012,"China, People's Republic Of",20121018,"Bulk Carrier-Large Handy","Bulk Carriers","LIB",202108,"Liberia","Monrovia","5LBV8","","Nippon Kaiji Kyokai (2013-09-00) NK: Special Survey Date: 2017-08-21 Class Notation: NS(CSR, BC-A, BC-XII, GRAB 25, PSPC-WBT)(IC IS)(ESP)(IWS)(PSCM)(IHM) /MNSCHG, MPP, LSA, RCF, M0, AFS, BWM",46970,10.518,183.682,12191,"Swedish Club",14200000,"BSM GR Management Ltd","Costamare Shipping Co SA","Greece","Costamare Shipping Co SA","Cavalaire Marine Corp","Liberia","Costamare Shipping Co SA","Greece","BSM GR Management Ltd","Zhejiang Ouhua Shipbuilding Co",24195,37019,189.99,183.68,"Greece",130,"DF","Distillate Fuel"
"132","40.8178","28.916254","0.10000000149011612","347.29998779296875","36.0","0.0","0.0","2022-02-16 04:52:00",538008955,"75","DORYSIA",2010,"Korea, South",20101026,"Bulk Carrier-Large Handy","Bulk Carriers","MAI",202005,"Marshall Islands","Majuro","V7A2947","Jlauritzen","Det Norske Veritas (2020-05-00) NV: Special Survey Date: 2020-12-24 Class Notation: (+) 1A1 Bulk carrier BC(A) BIS BWM(E(s)) COAT-PSPC(B) CSR E0 ESP Grab(20 t) Holds(2,4)may be empty TMON",45337,10.918,178.93,12334,"Gard",8900000,"Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","","Caliber Maritime SA-LIB","Hyundai Mipo Dockyard Co Ltd",22691,36863,187,178,"Greece",160,"DF","Distillate Fuel"
"133","40.82618","28.896420000000003","0.699999988079071","266.29998779296875","200.0","0.0","0.0","2022-02-16 05:27:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"134","40.825720000000004","28.891813","0.6000000238418579","247.3999938964844","193.0","0.0","0.0","2022-02-16 05:47:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"135","44.725025","37.77835","1.399999976158142","117.9000015258789","120.0","0.0","0.0","2022-02-16 07:37:00",273353480,"75","RENE",1989,"Bulgaria",20130124,"Tanker-<=4,999dwt","Tankers","RUS",201211,"Russia","Novorossiysk","UBCJ8","","Russian Maritime Register (2012-11-00) RS: Special Survey Date: 2022-12-21 Class Notation: KM(*) Ice3 R2 oil tanker(>60A degree C)(ESP)",3845,5.375,".000",1014,"Unknown","NULL","Unknown","Tanker Service Co Ltd","Russia","Tanker Service Co Ltd","Tanker Service Co Ltd","Russia","Tanker Service Co Ltd","Russia","Unknown","Ivan Dimitrov",1896,3365,77.53,73.24,"Russia",".00","YY","Yes, But Type Not Known"
"136","40.772434000000004","28.89067","0.4000000059604645","137.60000610351562","334.0","0.0","0.0","2022-02-16 15:27:00",538008955,"75","DORYSIA",2010,"Korea, South",20101026,"Bulk Carrier-Large Handy","Bulk Carriers","MAI",202005,"Marshall Islands","Majuro","V7A2947","Jlauritzen","Det Norske Veritas (2020-05-00) NV: Special Survey Date: 2020-12-24 Class Notation: (+) 1A1 Bulk carrier BC(A) BIS BWM(E(s)) COAT-PSPC(B) CSR E0 ESP Grab(20 t) Holds(2,4)may be empty TMON",45337,10.918,178.93,12334,"Gard",8900000,"Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","","Caliber Maritime SA-LIB","Hyundai Mipo Dockyard Co Ltd",22691,36863,187,178,"Greece",160,"DF","Distillate Fuel"
"137","40.388020000000004","27.994658","0.10000000149011612","331.0","57.0","0.0","1.0","2022-02-16 15:15:00",273298020,"75","NIKOLAI LEONOV",2021,"Russia",20210719,"General Cargo 5,000-9,999 dwt","Dry Cargo/Passenger","RUS",202107,"Russia","Taganrog","UBLV9","","Russian Maritime Register (2021-07-00)Survey Type: Date: 2021-07  RS: Special Survey Date: 2021-07-19 Class Notation: KM(*) Ice2 (hull, machinery) R2 AUT1-ICS BWM(T) CONT(deck and cargo hold) DG(bulk) DG(pack)",10812,4.53,".000",3455,"Unknown","NULL","Alpha LLC","JSC GTLK","Russia","Alpha LLC","JSC GTLK","Russia","Alpha LLC","Russia","Alpha LLC","Krasnoye Sormovo",6305,8157,141,137.08,"Russia",".00","DF","Distillate Fuel"
"138","44.718315000000004","37.800755","4.599999904632568","159.60000610351562","159.0","0.0","0.0","2022-02-16 07:57:00",273353480,"75","RENE",1989,"Bulgaria",20130124,"Tanker-<=4,999dwt","Tankers","RUS",201211,"Russia","Novorossiysk","UBCJ8","","Russian Maritime Register (2012-11-00) RS: Special Survey Date: 2022-12-21 Class Notation: KM(*) Ice3 R2 oil tanker(>60A degree C)(ESP)",3845,5.375,".000",1014,"Unknown","NULL","Unknown","Tanker Service Co Ltd","Russia","Tanker Service Co Ltd","Tanker Service Co Ltd","Russia","Tanker Service Co Ltd","Russia","Unknown","Ivan Dimitrov",1896,3365,77.53,73.24,"Russia",".00","YY","Yes, But Type Not Known"
"139","41.387867","29.03125","0.10000000149011612","240.0","83.0","0.0","0.0","2022-02-16 15:02:00",374540000,"75","HTK NEPTUNE",2007,"Japan",20070807,"Bulk Carrier-Large Handy","Dry Cargo/Passenger","PAN",201812,"Panama","Panama","3FDD","Falcon","Nippon Kaiji Kyokai (2007-08-00)Survey Type: Date: 2007-08  NK: Special Survey Date: 2020-06-06 Class Notation: NS(BC-A)(IWS)(IHM) /MNSCHG, MPP, LSA, RCF, AFS, BWM",45382,10.85,170.58,12674,"West of England",11500000,"HTK Shipping & Import Export","Vietnam Govt","Vietnam","HTK Shipping & Import Export","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Saiki Heavy Industries Co Ltd",22698,37426,177.8,169.8,"Vietnam",285,"DF","Distillate Fuel"
"140","40.925865","28.976803000000004","6.199999809265138","19.799999237060547","30.0","0.0","0.0","2022-02-16 23:32:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"141","40.815146999999996","28.91556","0.20000000298023224","5.199999809265137","27.0","0.0","0.0","2022-02-16 02:52:00",538008955,"75","DORYSIA",2010,"Korea, South",20101026,"Bulk Carrier-Large Handy","Bulk Carriers","MAI",202005,"Marshall Islands","Majuro","V7A2947","Jlauritzen","Det Norske Veritas (2020-05-00) NV: Special Survey Date: 2020-12-24 Class Notation: (+) 1A1 Bulk carrier BC(A) BIS BWM(E(s)) COAT-PSPC(B) CSR E0 ESP Grab(20 t) Holds(2,4)may be empty TMON",45337,10.918,178.93,12334,"Gard",8900000,"Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","","Caliber Maritime SA-LIB","Hyundai Mipo Dockyard Co Ltd",22691,36863,187,178,"Greece",160,"DF","Distillate Fuel"
"142","40.826412","28.888807","0.20000000298023224","319.29998779296875","247.0","0.0","0.0","2022-02-16 06:27:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"143","40.742670000000004","28.921529999999997","0.30000001192092896","144.0","20.0","0.0","0.0","2022-02-16 12:02:00",538008955,"75","DORYSIA",2010,"Korea, South",20101026,"Bulk Carrier-Large Handy","Bulk Carriers","MAI",202005,"Marshall Islands","Majuro","V7A2947","Jlauritzen","Det Norske Veritas (2020-05-00) NV: Special Survey Date: 2020-12-24 Class Notation: (+) 1A1 Bulk carrier BC(A) BIS BWM(E(s)) COAT-PSPC(B) CSR E0 ESP Grab(20 t) Holds(2,4)may be empty TMON",45337,10.918,178.93,12334,"Gard",8900000,"Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","","Caliber Maritime SA-LIB","Hyundai Mipo Dockyard Co Ltd",22691,36863,187,178,"Greece",160,"DF","Distillate Fuel"
"144","40.814674","28.89845","8.800000190734863","353.79998779296875","350.0","0.0","0.0","2022-02-16 23:27:00",538008955,"75","DORYSIA",2010,"Korea, South",20101026,"Bulk Carrier-Large Handy","Bulk Carriers","MAI",202005,"Marshall Islands","Majuro","V7A2947","Jlauritzen","Det Norske Veritas (2020-05-00) NV: Special Survey Date: 2020-12-24 Class Notation: (+) 1A1 Bulk carrier BC(A) BIS BWM(E(s)) COAT-PSPC(B) CSR E0 ESP Grab(20 t) Holds(2,4)may be empty TMON",45337,10.918,178.93,12334,"Gard",8900000,"Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","","Caliber Maritime SA-LIB","Hyundai Mipo Dockyard Co Ltd",22691,36863,187,178,"Greece",160,"DF","Distillate Fuel"
"145","42.201984","31.147616999999997","11.5","243.0","244.0","0.0","0.0","2022-02-16 03:01:00",374540000,"75","HTK NEPTUNE",2007,"Japan",20070807,"Bulk Carrier-Large Handy","Dry Cargo/Passenger","PAN",201812,"Panama","Panama","3FDD","Falcon","Nippon Kaiji Kyokai (2007-08-00)Survey Type: Date: 2007-08  NK: Special Survey Date: 2020-06-06 Class Notation: NS(BC-A)(IWS)(IHM) /MNSCHG, MPP, LSA, RCF, AFS, BWM",45382,10.85,170.58,12674,"West of England",11500000,"HTK Shipping & Import Export","Vietnam Govt","Vietnam","HTK Shipping & Import Export","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Saiki Heavy Industries Co Ltd",22698,37426,177.8,169.8,"Vietnam",285,"DF","Distillate Fuel"
